doc_id,folder_id,caption,best_tema,best_score,forza,estratto
23,2026-03-20_001,"Votiamo NO a una riforma che non migliora la giustizia per i cittadini, ma indebolisce l’indipendenza dei giudici che tutela tutti, soprattutto chi non ha il potere o i soldi per cavarsela comunque.
La giustizia si può migliorare, ma non migliora mettendo i giudici sotto il controllo del governo. 

Votiamo NO anche all’arroganza di un governo che ha blindato una riforma costituzionale senza accettare di modificare nemmeno una virgola. 

Ricordate che per questo referendum non c’è quorum, OGNI VOTO PUÒ FARE LA DIFFERENZA! 

Un grazie a tutte e tutti coloro che si sono mobilitati per questa campagna, a tutto il Partito Democratico che si è speso in ogni territorio. 
Cercate di convincere più persone possibile a votare NO, per difendere la nostra Costituzione!",giustizia,0.669,forte,"Votiamo NO a una riforma che non migliora la giustizia per i cittadini, ma indebolisce l’indipendenza dei giudici che tutela tutti, soprattutto chi non ha il potere o i soldi pe..."
21,2026-03-19_004,"Andiamo a votare NO a una riforma sbagliata.
Il 22 e il 23 marzo difendiamo la Costituzione.",giustizia,0.639,forte,"Andiamo a votare NO a una riforma sbagliata. Il 22 e il 23 marzo difendiamo la Costituzione. Questa non è una riforma che migliora la giustizia per voi, non migliora la giustizi..."
0,2026-03-12_001,La strategia energetica del governo Meloni: passare dalla dipendenza dal gas russo di Putin a quello americano di Trump. Geniale!,ambiente,0.597,forte,La strategia energetica del governo Meloni: passare dalla dipendenza dal gas russo di Putin a quello americano di Trump. Geniale! 2° DIPEDENZA DA > FONTI FOSSILI Però per smette...
19,2026-03-19_002,"La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del governo. È dove vogliono arrivare, e anche per questo votiamo no.",europa,0.588,forte,La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del g...
44,2026-04-02_003,"Stesso giorno. Stesso Ufficio di Presidenza della Camera.
Due decisioni, due pesi e due misure.

Votando a maggioranza, la destra salva Giusi Bartolozzi sul caso Almasri, alzando uno scudo processuale,
ma sanziona 32 deputati che hanno difeso i valori antifascisti della Costituzione.

Proteggono chi libera un torturatore ricercato dalla Corte Penale Internazionale.
Puniscono chi difende la nostra democrazia.

Questa è la loro idea di giustizia.",giustizia,0.557,forte,"Stesso giorno. Stesso Ufficio di Presidenza della Camera. Due decisioni, due pesi e due misure. Votando a maggioranza, la destra salva Giusi Bartolozzi sul caso Almasri, alzando..."
18,2026-03-19_001,La mia intervista di questa sera a Cinque Minuti.,giustizia,0.556,forte,La mia intervista di questa sera a Cinque Minuti. Ce l'ha spiegato molto bene il governo quando il sottosegretario Mantovano dice che la riforma serve a riequilibrare i rapporti...
34,2026-03-25_001,"Restate mobilitati, perché ne avremo bisogno per costruire l’alternativa a questo governo.
Venite, partecipate, migliorateci.",europa,0.548,medio,"Restate mobilitati, perché ne avremo bisogno per costruire l’alternativa a questo governo. Venite, partecipate, migliorateci. Ho parlato del messaggio politico che gli italiani ..."
10,2026-03-15_002,Il 22 e 23 marzo difendiamo la nostra Costituzione.,giustizia,0.545,medio,Il 22 e 23 marzo difendiamo la nostra Costituzione. Referendum Ma vi pare normale che la Presidente del Consiglio di questo Paese dica che se vince il no ci saranno più stuprato...
1,2026-03-12_002,Sia chiaro a Giorgia Meloni: noi non vogliamo il modello Trump. Ci teniamo stretti la nostra Costituzione.,giustizia,0.523,medio,"Sia chiaro a Giorgia Meloni: noi non vogliamo il modello Trump. Ci teniamo stretti la nostra Costituzione. non ha resistito a fare un attacco ai giudici, anche da quest'Aula, Pr..."
57,2026-04-10_002,"Art. 1 della Costituzione: l’Italia è una Repubblica fondata sul lavoro.
Il governo Meloni vuole una Repubblica fondata sul lavoro povero e sul lavoro precario.",lavoro,0.497,medio,Art. 1 della Costituzione: l’Italia è una Repubblica fondata sul lavoro. Il governo Meloni vuole una Repubblica fondata sul lavoro povero e sul lavoro precario. Articolo 1. L'It...
16,2026-03-18_001,"In Piazza del Popolo a Roma al fianco del comitato civico per il NO al referendum del 22 e 23 marzo.

Grazie a tutte e tutti per l’impegno e la passione di queste settimane di campagna! Mancano pochi giorni di campagna per convincere le persone a votare NO per difendere la Costituzione, mobilitiamoci fino all’ultimo momento utile!",europa,0.466,medio,In Piazza del Popolo a Roma al fianco del comitato civico per il NO al referendum del 22 e 23 marzo. Grazie a tutte e tutti per l’impegno e la passione di queste settimane di ca...
25,2026-03-20_003,"La destra ha passato la campagna elettorale a urlare “chi sbaglia paga”. Ma per loro, a quanto pare, non vale.",sicurezza,0.466,medio,"La destra ha passato la campagna elettorale a urlare “chi sbaglia paga”. Ma per loro, a quanto pare, non vale. Questi qua hanno fatto tutta la campagna elettorale a partire dall..."
37,2026-03-27_001,Continuate a partecipare perché solo così potremo costruire l’alternativa a questo governo.,europa,0.464,medio,Continuate a partecipare perché solo così potremo costruire l’alternativa a questo governo. Quel voto e quei 15 milioni che hanno votato no hanno sicuramente dato un messaggio p...
47,2026-04-02_006,"C’è bisogno di un governo che si occupi dei problemi degli italiani, non degli ennesimi scandali dei suoi ministri.",europa,0.464,medio,"C’è bisogno di un governo che si occupi dei problemi degli italiani, non degli ennesimi scandali dei suoi ministri. Mi consenta di iniziare da una cifra questa sera perché mi ha..."
38,2026-03-29_001,"Il decreto fiscale infligge un colpo durissimo alle imprese che avevano scommesso su Transizione 5.0: si ritrovano con un terzo di quanto lo Stato aveva garantito. 

È una rottura brutale della fiducia tra istituzioni e mondo produttivo.

Questo governo ha cambiato le regole a partita in corso, spostato risorse e ignorato imprese e territori. Tre anni di calo della produzione industriale parlano da soli: il fallimento della destra sulle politiche industriali è conclamato.

Ci batteremo in Parlamento per cancellare questi tagli e ripristinare le risorse. Le imprese e i lavoratori italiani meritano uno Stato che mantenga la parola.",economia,0.461,medio,Il decreto fiscale infligge un colpo durissimo alle imprese che avevano scommesso su Transizione 5.0: si ritrovano con un terzo di quanto lo Stato aveva garantito. È una rottura...
56,2026-04-10_001,"A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno di oltre un metro e mezzo.

Siamo qui per portare vicinanza e sostegno alle comunità molisana che ha subito centinaia di milioni di euro di danni. Alle amministrazioni locali servono risorse per gli interventi, le migliori competenze tecniche, strumenti tecnologici per il monitoraggio: i cittadini aspettano e meritano risposte immediate.

Il Partito Democratico è in prima linea, a ogni livello istituzionale, per fare la propria parte e sostenerli. 

Ma non possiamo continuare a inseguire le emergenze. È urgente, lo ribadiamo, un grande piano nazionale di prevenzione e messa in sicurezza del territorio contro il dissesto idrogeologico. Non possiamo più essere un Paese che spende 4 volte dopo le emergenze ciò che invece investe in prevenzione.",immigrazione,0.456,medio,"A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno ..."
46,2026-04-02_005,La mia intervista a Realpolitik.,europa,0.444,debole,La mia intervista a Realpolitik. Sono distantissimi da tutti gli aspetti prudiginosi della vicenda ma io non posso non chiederle un commento politico anche perché c'è stato l'in...
24,2026-03-20_002,"Una campagna elettorale emozionante, da sud a nord del Paese, che si chiude oggi a Milano.

Grazie a tutte le nostre volontarie e tutti i nostri volontari per l’impegno e la passione. Siete la nostra forza. 

Il 22 e il 23 marzo VOTA NO per difendere la Costituzione.",europa,0.439,debole,"Una campagna elettorale emozionante, da sud a nord del Paese, che si chiude oggi a Milano. Grazie a tutte le nostre volontarie e tutti i nostri volontari per l’impegno e la pass..."
