tema,rank,score,folder_id,caption,estratto
ambiente,1,0.597,2026-03-12_001,La strategia energetica del governo Meloni: passare dalla dipendenza dal gas russo di Putin a quello americano di Trump. Geniale!,La strategia energetica del governo Meloni: passare dalla dipendenza dal gas russo di Putin a quello americano di Trump. Geniale! 2° DIPEDENZA DA > FONTI FOSSILI Però per smette...
ambiente,2,0.413,2026-04-02_006,"C’è bisogno di un governo che si occupi dei problemi degli italiani, non degli ennesimi scandali dei suoi ministri.","C’è bisogno di un governo che si occupi dei problemi degli italiani, non degli ennesimi scandali dei suoi ministri. Mi consenta di iniziare da una cifra questa sera perché mi ha..."
ambiente,3,0.396,2026-04-10_001,"A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno di oltre un metro e mezzo.

Siamo qui per portare vicinanza e sostegno alle comunità molisana che ha subito centinaia di milioni di euro di danni. Alle amministrazioni locali servono risorse per gli interventi, le migliori competenze tecniche, strumenti tecnologici per il monitoraggio: i cittadini aspettano e meritano risposte immediate.

Il Partito Democratico è in prima linea, a ogni livello istituzionale, per fare la propria parte e sostenerli. 

Ma non possiamo continuare a inseguire le emergenze. È urgente, lo ribadiamo, un grande piano nazionale di prevenzione e messa in sicurezza del territorio contro il dissesto idrogeologico. Non possiamo più essere un Paese che spende 4 volte dopo le emergenze ciò che invece investe in prevenzione.","A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno ..."
ambiente,4,0.381,2026-04-02_001,"Siamo vicini alle comunità regionali di Abruzzo, Molise e anche della Puglia alle prese con gravi eventi atmosferici che stanno determinando una situazione di particolare gravità sotto il profilo della sicurezza del territorio, delle infrastrutture e delle attività economiche.

In Abruzzo, come ampiamente riportato dagli organi di stampa, si registrano ingenti danni causati da precipitazioni intense, esondazioni e smottamenti che hanno interessato vaste aree del territorio regionale. Numerosi comuni in difficoltà risultano colpiti da allagamenti, interruzioni della viabilità e disagi diffusi alla popolazione, con conseguenti ripercussioni anche sulle attività produttive e sui servizi essenziali a partite dall’approvvigionamento idrico, dei servizi ospedalieri e dei collegamenti ferroviari.

Nell’area dell’Alto Molise, le abbondanti nevicate in quota stanno provocando difficoltà nei collegamenti, mentre si segnalano fenomeni franosi che compromettono la stabilità del territorio e la sicurezza delle infrastrutture. Nel Basso Molise, la situazione è ulteriormente aggravata dal crollo di un ponte lungo la Trignina, evento di estrema gravità che fa temere la possibile presenza di vittime e che ha determinato l’interruzione di un’arteria viaria strategica.

L’intero comparto agricolo risulta duramente colpito, con coltivazioni danneggiate, terreni allagati e aziende in seria difficoltà, delineando un quadro complessivo di emergenza che richiede interventi urgenti e coordinati a sostegno dei territori interessati: serviranno anni per recuperare i danni di queste ore.

Prendiamo atto della richiesta di dichiarazione dello stato di emergenza avanzata dai Presidente delle Regioni colpite ma diciamo al Governo di fare presto per non lasciare da soli sindaci, comunità e attività produttive.","Siamo vicini alle comunità regionali di Abruzzo, Molise e anche della Puglia alle prese con gravi eventi atmosferici che stanno determinando una situazione di particolare gravit..."
ambiente,5,0.372,2026-04-03_001,"Come in Abruzzo e in Molise, anche in Puglia la situazione è critica a causa delle intense precipitazioni e dei fenomeni atmosferici estremi che hanno colpito le province di Foggia, della BAT e anche le aree più a sud, nel Tarantino.

Il torrente Cervaro è esondato, arrivando a coprire diverse strade provinciali e causando disagi anche alla circolazione ferroviaria.
L’esondazione dell’Ofanto ha causato ingenti danni alle coltivazioni, a strade e ferrovie.
Un sentito ringraziamento ai vigili del fuoco e alla protezione civile, impegnati in queste ore negli interventi nelle zone più a rischio della regione.","Come in Abruzzo e in Molise, anche in Puglia la situazione è critica a causa delle intense precipitazioni e dei fenomeni atmosferici estremi che hanno colpito le province di Fog..."
economia,1,0.461,2026-03-29_001,"Il decreto fiscale infligge un colpo durissimo alle imprese che avevano scommesso su Transizione 5.0: si ritrovano con un terzo di quanto lo Stato aveva garantito. 

È una rottura brutale della fiducia tra istituzioni e mondo produttivo.

Questo governo ha cambiato le regole a partita in corso, spostato risorse e ignorato imprese e territori. Tre anni di calo della produzione industriale parlano da soli: il fallimento della destra sulle politiche industriali è conclamato.

Ci batteremo in Parlamento per cancellare questi tagli e ripristinare le risorse. Le imprese e i lavoratori italiani meritano uno Stato che mantenga la parola.",Il decreto fiscale infligge un colpo durissimo alle imprese che avevano scommesso su Transizione 5.0: si ritrovano con un terzo di quanto lo Stato aveva garantito. È una rottura...
economia,2,0.385,2026-04-10_002,"Art. 1 della Costituzione: l’Italia è una Repubblica fondata sul lavoro.
Il governo Meloni vuole una Repubblica fondata sul lavoro povero e sul lavoro precario.",Art. 1 della Costituzione: l’Italia è una Repubblica fondata sul lavoro. Il governo Meloni vuole una Repubblica fondata sul lavoro povero e sul lavoro precario. Articolo 1. L'It...
economia,3,0.24,2026-03-19_002,"La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del governo. È dove vogliono arrivare, e anche per questo votiamo no.",La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del g...
economia,4,0.236,2026-03-18_002,Gli italiani spendono 16 milioni e mezzo in più al giorno solo di carburanti. Sono passati dieci giorni dalla nostra proposta per abbassare le accise: il governo si deve sbrigare.,Gli italiani spendono 16 milioni e mezzo in più al giorno solo di carburanti. Sono passati dieci giorni dalla nostra proposta per abbassare le accise: il governo si deve sbrigar...
economia,5,0.236,2026-03-20_003,"La destra ha passato la campagna elettorale a urlare “chi sbaglia paga”. Ma per loro, a quanto pare, non vale.","La destra ha passato la campagna elettorale a urlare “chi sbaglia paga”. Ma per loro, a quanto pare, non vale. Questi qua hanno fatto tutta la campagna elettorale a partire dall..."
